DEBUG 2025-03-25 23:18:52,166 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\contrib\auth\admin.py first seen with mtime 1740858006.5271451
DEBUG 2025-03-25 23:18:52,166 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\sqlparse\__init__.py first seen with mtime 1740858004.2083137
DEBUG 2025-03-25 23:18:52,167 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\core\signing.py first seen with mtime 1740858008.6407206
DEBUG 2025-03-25 23:18:52,167 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\contrib\messages\utils.py first seen with mtime 1740858007.8331802
DEBUG 2025-03-25 23:18:52,167 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\db\backends\base\__init__.py first seen with mtime 1740858008.7218404
DEBUG 2025-03-25 23:18:52,167 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\sqlparse\lexer.py first seen with mtime 1740858004.211928
DEBUG 2025-03-25 23:18:52,167 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\utils\termcolors.py first seen with mtime 1740858008.962117
DEBUG 2025-03-25 23:18:52,167 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\asyncio\subprocess.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,167 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\wsgiref\headers.py first seen with mtime 1613764528.0
DEBUG 2025-03-25 23:18:52,167 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\db\backends\base\operations.py first seen with mtime 1740858008.7251666
DEBUG 2025-03-25 23:18:52,167 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\contrib\contenttypes\management\__init__.py first seen with mtime 1740858007.03682
DEBUG 2025-03-25 23:18:52,167 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\contrib\admin\helpers.py first seen with mtime 1740858005.7299275
DEBUG 2025-03-25 23:18:52,167 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\core\files\images.py first seen with mtime 1740858008.6689198
DEBUG 2025-03-25 23:18:52,167 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\contrib\contenttypes\forms.py first seen with mtime 1740858006.8381386
DEBUG 2025-03-25 23:18:52,168 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\logging\handlers.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,168 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\db\models\lookups.py first seen with mtime 1740858008.7761254
DEBUG 2025-03-25 23:18:52,168 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\_sitebuiltins.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,168 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\asyncio\sslproto.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,168 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\importlib\util.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,168 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\io.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,168 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\db\models\sql\query.py first seen with mtime 1740858008.8044791
DEBUG 2025-03-25 23:18:52,168 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\db\backends\sqlite3\introspection.py first seen with mtime 1740858008.7534297
DEBUG 2025-03-25 23:18:52,168 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\_bootlocale.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,168 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\contrib\auth\backends.py first seen with mtime 1740858006.527953
DEBUG 2025-03-25 23:18:52,168 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\contrib\sessions\__init__.py first seen with mtime 1740858008.2389228
DEBUG 2025-03-25 23:18:52,168 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\db\backends\base\schema.py first seen with mtime 1740858008.7264335
DEBUG 2025-03-25 23:18:52,168 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\DLLs\_sqlite3.pyd first seen with mtime 1613764580.0
DEBUG 2025-03-25 23:18:52,168 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\utils\lorem_ipsum.py first seen with mtime 1740858008.958983
DEBUG 2025-03-25 23:18:52,169 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\tienda\productos\forms.py first seen with mtime 1741311929.0568364
DEBUG 2025-03-25 23:18:52,169 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\db\models\query.py first seen with mtime 1740858008.7781346
DEBUG 2025-03-25 23:18:52,169 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\contrib\admin\exceptions.py first seen with mtime 1740858005.7278364
DEBUG 2025-03-25 23:18:52,169 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\contrib\auth\__init__.py first seen with mtime 1740858006.5254743
DEBUG 2025-03-25 23:18:52,169 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\utils\datastructures.py first seen with mtime 1740858008.9377065
DEBUG 2025-03-25 23:18:52,169 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\asgiref\current_thread_executor.py first seen with mtime 1740858004.0575256
DEBUG 2025-03-25 23:18:52,169 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\asyncio\format_helpers.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,169 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\db\models\fields\files.py first seen with mtime 1740858008.7831886
DEBUG 2025-03-25 23:18:52,169 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\site.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,169 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\DLLs\_ctypes.pyd first seen with mtime 1613764582.0
DEBUG 2025-03-25 23:18:52,169 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\conf\locale\__init__.py first seen with mtime 1740858005.3439033
DEBUG 2025-03-25 23:18:52,169 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\core\handlers\wsgi.py first seen with mtime 1740858008.684996
DEBUG 2025-03-25 23:18:52,169 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\fractions.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,169 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\contrib\auth\signals.py first seen with mtime 1740858006.535486
DEBUG 2025-03-25 23:18:52,170 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\db\models\signals.py first seen with mtime 1740858008.7781346
DEBUG 2025-03-25 23:18:52,170 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\ctypes\_endian.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,170 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\asyncio\windows_events.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,170 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\db\backends\base\creation.py first seen with mtime 1740858008.724167
DEBUG 2025-03-25 23:18:52,170 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\encodings\cp1252.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,170 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\shutil.py first seen with mtime 1613764526.0
